#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
#,4,100,,15.364,5.611,2.633,1.403,0.811,0.495,0.316,0.208,0.141,0.098,0.049,0.026,0.015,,0.008,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,16,18.416,,,
#,5,100,,14.836,5.542,2.645,1.43,0.836,0.517,0.333,0.221,0.151,0.106,0.054,0.029,0.017,,0.01,0.006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,14,16.114,,,
#,6,100,,14.234,5.426,2.629,1.439,0.851,0.531,0.345,0.232,0.16,0.112,0.058,0.032,0.018,,0.011,0.006,,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,13,14.963,,,
#,7,100,,14.693,5.739,2.822,1.56,0.929,0.583,0.381,0.257,0.177,0.125,0.065,0.036,0.021,,0.012,0.007,,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.85,4.43135,,,
#,8,100,,14.07,5.655,2.842,1.6,0.968,0.617,0.408,0.278,0.194,0.138,0.074,0.041,0.024,,0.015,0.009,,0.006,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.6,4.1436,,,
#,9,100,,16.09,6.747,3.489,2.009,1.238,0.801,0.537,0.371,0.262,0.189,0.103,0.059,0.035,,0.021,0.013,,0.008,0.005,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.45,3.97095,,,
#,10,100,,16.152,6.953,3.686,2.173,1.37,0.905,0.62,0.436,0.314,0.23,0.13,0.077,0.047,,0.03,0.019,,0.013,0.008,0.006,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.3,3.7983,,,
#,11,100,,15.712,6.858,3.691,2.208,1.413,0.947,0.657,0.469,0.342,0.255,0.147,0.089,0.056,,0.036,0.024,,0.016,0.011,0.008,0.005,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.15,3.62565,,,
#,12,100,,14.898,6.533,3.544,2.14,1.382,0.935,0.655,0.472,0.348,0.261,0.153,0.095,0.061,,0.04,0.027,,0.018,0.013,0.009,0.006,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.1,3.5681,,,
#,13,100,,14.117,6.222,3.403,2.073,1.35,0.922,0.652,0.474,0.352,0.267,0.16,0.1,0.065,,0.044,0.03,,0.021,0.015,0.011,0.008,0.006,0.003,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.05,3.51055,,,
#,14,100,,13.841,6.204,3.449,2.134,1.411,0.977,0.7,0.516,0.388,0.297,0.182,0.117,0.078,,0.053,0.037,,0.026,0.019,0.014,0.01,0.008,0.004,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,3.453,,,
#,15,100,,13.48,6.13,3.457,2.168,1.453,1.019,0.739,0.551,0.419,0.325,0.203,0.133,0.09,,0.063,0.045,,0.032,0.024,0.018,0.013,0.01,0.006,0.003,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2.95,3.39545,,,
#,16,100,,13.053,6.01,3.433,2.18,1.477,1.048,0.768,0.578,0.444,0.348,0.222,0.148,0.102,,0.072,0.052,,0.038,0.029,0.022,0.017,0.013,0.008,0.004,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,9,0.775,0.891,0.34,0.306,,,
#,17,100,,12.553,5.84,3.373,2.164,1.482,1.061,0.786,0.597,0.463,0.365,0.237,0.16,0.112,,0.08,0.059,,0.044,0.033,0.026,0.02,0.016,0.01,0.005,0.003,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,10,1.060875,1.353,0.34,0.306,,,
#,18,100,,12.018,5.643,3.291,2.132,1.474,1.065,0.795,0.609,0.476,0.379,0.249,0.171,0.121,,0.088,0.065,,0.05,0.038,0.03,0.023,0.018,0.012,0.006,0.004,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,19,100,,11.458,5.424,3.192,2.087,1.455,1.06,0.798,0.616,0.485,0.388,0.259,0.18,0.129,,0.095,0.071,,0.055,0.042,0.033,0.027,0.021,0.014,0.008,0.005,0.003,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,20,100,,10.625,5.035,2.974,1.953,1.368,1.001,0.757,0.587,0.465,0.374,0.252,0.176,0.128,,0.095,0.072,,0.055,0.043,0.034,0.027,0.022,0.015,0.008,0.005,0.003,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,21,100,,9.837,4.667,2.767,1.825,1.284,0.945,0.718,0.559,0.445,0.359,0.244,0.173,0.126,,0.094,0.072,,0.056,0.044,0.035,0.028,0.023,0.016,0.009,0.006,0.003,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,12,2.1998304,3.3,0.34,0.306,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3.029965088,4.848,0.34,0.306,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.0754574,6.928,0.34,0.306,,,
#,,,Hit Chance (%),,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.370679688,10.204,0.35,0.315,,,
#,,,Turrets,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.9525504,14.948,0.36,0.324,,,
#,,,Barrels,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8.860534088,20.379,0.41,0.369,,,
#,,,Barrels Total,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11.1366414,27.285,0.42,0.378,,,
#,,,Salvo Hit Chance (%),,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.387,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.396,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.405,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.414,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.423,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.432,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.45,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.468,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironclad_virginia_5,5,10.948608,442.368,7.5,0,0.09,0.8,0.95,0.95,0.05,2,0.00082,0.59426376,19.2375,0.2,10,2.5,8.4,110,1.2,1.23,1.26075,1.29226875,1.324575469,1.94,2.037,2.13885,2.2457925,2.358082125,3,3.15,3.3075,3.472875,3.64651875,385,394.625,404.490625,414.6028906,424.9679629,"2,600","2,730","2,867","3,010","3,160","3,318",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,5950,15.725,17.612,0.87,1.74,0.234,0.468,6.75,20.925
ironclad_virginia_6,6,5.474304,221.184,10,1,0.11,0.95,1,1.15,0.05,3,0.00082,0.6255408,19.2375,0.3,10,3.6,10.157,105,1.451,1.487275,1.524456875,1.562568297,1.601632504,1.7,1.785,1.87425,1.9679625,2.066360625,4,4.2,4.41,4.6305,4.862025,377.3,386.7325,396.4008125,406.3108328,416.4686036,"2,900","3,045","3,197","3,357","3,525","3,701",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,6650,14.985,16.7832,0.75,1.5,0.222,0.444,6.75,20.925
ironclad_virginia_7,7,2.737152,110.592,11,4,0.14,1.25,1.15,0.65,0.1,1.1,0.00082,0.658464,19.2375,0.5,11.5,5.63,14.287,100,2.041,2.092025,2.144325625,2.197933766,2.25288211,1.58,1.659,1.74195,1.8290475,1.920499875,11,11.55,12.1275,12.733875,13.37056875,369.754,378.99785,388.4727963,398.1846162,408.1392316,"3,200","3,360","3,528","3,704","3,890","4,084",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,7350,14.5225,16.2652,0.69,1.38,0.216,0.432,6.75,20.925
ironclad_virginia_8,8,1.368576,55.296,13,9,0.18,1.5,1.3,0.55,0.05,0.9,0.00082,0.69312,19.2375,0.7,13.5,8.64,20.636,95,2.948,3.0217,3.0972425,3.174673563,3.254040402,1.36,1.428,1.4994,1.57437,1.6530885,22,23.1,24.255,25.46775,26.7411375,362.35892,371.417893,380.7033403,390.2209238,399.9764469,"3,500","3,675","3,859","4,052","4,254","4,467",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,8050,14.5225,16.2652,0.58,1.16,0.21,0.42,6.75,20.925
ironclad_virginia_9,9,0.684288,27.648,14,20,0.23,1.75,1.55,0.375,0.2,1,0.00082,0.7296,19.2375,0.95,13.5,10.93,28.574,90,4.082,4.18405,4.28865125,4.395867531,4.50576422,1.24,1.302,1.3671,1.435455,1.50722775,43,45.15,47.4075,49.777875,52.26676875,355.1117416,363.9895351,373.0892735,382.4165054,391.976918,"3,800","3,990","4,190","4,399","4,619","4,850",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,8750,15.2625,17.094,0.52,1.04,0.204,0.408,6.75,20.925
ironclad_virginia_10,10,0.57024,23.04,15,26,0.28,2.1,1.8,0.45,0.22,1.25,0.0007307685,0.768,3.6658125,1.4,13.5,13.5,38.101,85,5.443,5.579075,5.718551875,5.861515672,6.008053564,1,1.05,1.1025,1.157625,1.21550625,54,56.7,59.535,62.51175,65.6373375,348.0095068,356.7097444,365.627488,374.7681752,384.1373796,"4,100","4,305","4,520","4,746","4,984","5,233",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,9450,14.8,16.576,0.45,0.9,0.384,0.768,1.28625,3.987375
ironclad_virginia_11,11,0.4752,19.2,16,33,0.35,2.3,2.2,0.475,0.275,1.35,0.0007307685,0.792,3.6658125,2.2,12,14.52,49.84,80,7.12,7.298,7.48045,7.66746125,7.859147781,0.92,0.966,1.0143,1.065015,1.11826575,58,60.9,63.945,67.14225,70.4993625,342,350.55,359.31375,368.2965938,377.5040086,"4,400","4,620","4,851","5,094","5,348","5,616",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,10150,14.5225,16.2652,0.41,0.82,0.396,0.792,1.28625,3.987375
ironclad_virginia_12,12,0.396,16,17,42,0.4,2.5,2.5,0.5,0.3,1.4,0.0007307685,0.8,3.6658125,3.3,1,1.44,79.38,75,11.34,11.6235,11.9140875,12.21193969,12.51723818,0.78,0.819,0.85995,0.9029475,0.948094875,80,82.8,85.698,88.69743,91.80184005,340,348.5,357.2125,366.1428125,375.2963828,"4,700","4,935","5,182","5,441","5,713","5,999",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,11550,13.875,15.54,0.34,0.68,0.408,0.3672,1.28625,3.6658125
#,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironclad_monitor_5,5,13.934592,564.0192,7.5,0,0.09,0.8,0.95,0.95,0.05,2,0.00082,0.59426376,19.2375,0.2,11.75,2.93,8.4,110,1.2,1.23,1.26075,1.29226875,1.324575469,1.92,2.016,2.1168,2.22264,2.333772,3.5,3.675,3.85875,4.0516875,4.254271875,385,394.625,404.490625,414.6028906,424.9679629,"2,600","2,730","2,867","3,010","3,160","3,318",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,5950,15.725,17.612,0.86,1.72,0.234,0.468,6.75,20.925
ironclad_monitor_6,6,6.967296,282.0096,10,1,0.11,0.95,1,1.15,0.05,3,0.00082,0.6255408,19.2375,0.3,11.75,4.23,10.157,105,1.451,1.487275,1.524456875,1.562568297,1.601632504,1.68,1.764,1.8522,1.94481,2.0420505,4.3,4.515,4.74075,4.9777875,5.226676875,377.3,386.7325,396.4008125,406.3108328,416.4686036,"2,900","3,045","3,197","3,357","3,525","3,701",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,6650,14.985,16.7832,0.74,1.48,0.222,0.444,6.75,20.925
ironclad_monitor_7,7,3.483648,141.0048,11,3,0.14,1.25,1.15,0.65,0.1,1.1,0.00082,0.658464,19.2375,0.5,11.75,5.75,14.287,100,2.041,2.092025,2.144325625,2.197933766,2.25288211,1.56,1.638,1.7199,1.805895,1.89618975,12,12.6,13.23,13.8915,14.586075,369.754,378.99785,388.4727963,398.1846162,408.1392316,"3,200","3,360","3,528","3,704","3,890","4,084",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,7350,14.5225,16.2652,0.68,1.36,0.216,0.432,6.75,20.925
ironclad_monitor_8,8,1.741824,70.5024,13,7,0.18,1.5,1.3,0.55,0.05,0.9,0.00082,0.69312,19.2375,0.7,13.75,8.8,20.636,95,2.948,3.0217,3.0972425,3.174673563,3.254040402,1.34,1.407,1.47735,1.5512175,1.628778375,23.9,25.095,26.34975,27.6672375,29.05059938,362.35892,371.417893,380.7033403,390.2209238,399.9764469,"3,500","3,675","3,859","4,052","4,254","4,467",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,8050,14.5225,16.2652,0.57,1.14,0.21,0.42,6.75,20.925
ironclad_monitor_9,9,0.870912,35.2512,14,16,0.23,1.75,1.55,0.375,0.2,1,0.00082,0.7296,19.2375,0.95,13.75,11.13,28.574,90,4.082,4.18405,4.28865125,4.395867531,4.50576422,1.22,1.281,1.34505,1.4123025,1.482917625,45,47.25,49.6125,52.093125,54.69778125,355.1117416,363.9895351,373.0892735,382.4165054,391.976918,"3,800","3,990","4,190","4,399","4,619","4,850",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,8750,15.2625,17.094,0.51,1.02,0.204,0.408,6.75,20.925
ironclad_monitor_10,10,0.72576,29.376,15,20,0.28,2.1,1.8,0.45,0.22,1.25,0.0007307685,0.768,3.6658125,1.4,13.75,13.75,38.101,85,5.443,5.579075,5.718551875,5.861515672,6.008053564,0.98,1.029,1.08045,1.1344725,1.191196125,56.2,59.01,61.9605,65.058525,68.31145125,348.0095068,356.7097444,365.627488,374.7681752,384.1373796,"4,100","4,305","4,520","4,746","4,984","5,233",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,9450,14.8,16.576,0.44,0.88,0.384,0.768,1.28625,3.987375
ironclad_monitor_11,11,0.6048,24.48,16,26,0.35,2.3,2.2,0.475,0.275,1.35,0.0007307685,0.792,3.6658125,2.2,12.75,15.42,49.84,80,7.12,7.298,7.48045,7.66746125,7.859147781,0.9,0.945,0.99225,1.0418625,1.093955625,61,64.05,67.2525,70.615125,74.14588125,345,353.625,362.465625,371.5272656,380.8154473,"4,400","4,620","4,851","5,094","5,348","5,616",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,10150,14.5225,16.2652,0.4,0.8,0.396,0.792,1.28625,3.987375
ironclad_monitor_12,12,0.504,20.4,17,33,0.4,2.5,2.5,0.5,0.3,1.4,0.0007307685,0.8,3.6658125,3.3,1,1.44,79.38,75,11.34,11.6235,11.9140875,12.21193969,12.51723818,0.78,0.819,0.85995,0.9029475,0.948094875,80,82.8,85.698,88.69743,91.80184005,342,350.55,359.31375,368.2965938,377.5040086,"4,700","4,935","5,182","5,441","5,713","5,999",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,11550,13.875,15.54,0.34,0.68,0.408,0.3672,1.28625,3.6658125
ironclad_monitor_13,13,0.42,17,18,42,0.45,2.8,2.8,0.525,0.325,1.45,0.0007307685,0.8,3.6658125,5.3,1,1.69,87.5,75,12.5,12.8125,13.1328125,13.46113281,13.79766113,0.68,0.714,0.7497,0.787185,0.82654425,100,103.5,107.1225,110.8717875,114.7523001,340,348.5,357.2125,366.1428125,375.2963828,"4,900","5,145","5,402","5,672","5,956","6,254",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,11550,13.875,15.54,0.29,0.58,0.408,0.3672,1.28625,3.6658125
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firerate,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,13,13.5,14,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,10.692,11.34,11.988,12.636,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.748,9.396,10.044,10.692,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.896,5.8032,6.2568,6.7104,7.164,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,3.87,4.275,4.95,5.49,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.772,3.1185,3.7422,4.3659,4.815,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.376,2.4948,2.80665,3.1185,3.43035,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.151765,2.542995,2.803815,3.064635,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.95615,2.282175,2.6082,2.86902,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.70775,2.12175,2.3805,2.63925,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22259375,1.5,1.9,2.1,2.25,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965034,1.25,1.7,1.9665,2.1735,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79695,1.11573,1.5,1.656,1.863,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7107345,1.0266165,1.3424985,1.5525,1.7595,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.9,1.25,1.4,1.6,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,1.1,1.25,1.35,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.7,0.85,0.95,1.05,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,0.7,0.8,0.9,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.5,0.6,0.66,0.72,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.45,0.49,0.55,0.61,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.4,0.44,0.5,0.55,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
